,genre_sequence,unique_genres
313,Yasuharu Takanashi,None
314,anime,None
315,dream pop,None
316,dream pop,None
317,dream pop,None
318,electronic,None
319,dream pop,None
320,dream pop,None
321,dream pop,None
322,dream pop,None
323,electronic,None
324,Yasuharu Takanashi,None
325,Yasuharu Takanashi,None
326,Yasuharu Takanashi,None
327,Yasuharu Takanashi,None
328,love at first listen,None
329,german,None
330,indie,None
331,folk,None
332,folk,None
333,indie,None
334,anime,None
335,alternative rock,None
336,Soundtrack,None
337,anime,None
338,J-rock,None
339,J-rock,None
340,rock,None
341,synthpop,None
342,alternative rock,None
343,Soundtrack,None
344,Soundtrack,None
345,Soundtrack,None
346,pop,None
347,dream pop,None
348,dream pop,None
349,dream pop,None
350,J-rock,None
351,indie rock,None
352,alternative,None
353,alternative,None
354,anime,None
355,Yasuharu Takanashi,None
356,Yasuharu Takanashi,None
357,J-rock,None
358,J-rock,None
359,instrumental,None
360,J-rock,None
361,Yasuharu Takanashi,None
362,Yasuharu Takanashi,None
363,Classical,None
364,dream pop,None
365,electronic,None
366,anime,None
367,anime,None
368,japanese,None
369,japanese,None
370,indie,None
371,dream pop,None
372,Soundtrack,None
373,beautiful,None
374,beautiful,None
375,beautiful,None
376,beautiful,None
377,J-rock,None
378,electronic,None
379,Yasuharu Takanashi,None
380,japanese,None
381,rock,None
382,japanese,None
383,anime,None
384,beautiful,None
385,J-rock,None
386,repeatable,None
387,repeatable,None
388,rock,None
389,rock,None
390,britpop,None
391,rock,None
392,rock,None
393,rock,None
394,britpop,None
395,britpop,None
396,dream pop,None
397,dream pop,None
398,dream pop,None
399,dream pop,None
400,dream pop,None
401,dream pop,None
402,dream pop,None
403,dream pop,None
404,dream pop,None
405,dream pop,None
406,dream pop,None
407,dream pop,None
408,dream pop,None
409,dream pop,None
410,dream pop,None
411,dream pop,None
412,dream pop,None
413,dream pop,None
414,dream pop,None
415,dream pop,None
416,shoegaze,None
417,dream pop,None
418,indie folk,None
419,Buck-Tick,None
420,japanese,None
421,dream pop,None
422,J-rock,None
423,indie,None
424,indie,None
425,anime,None
426,anime,None
427,indie,None
428,anime,None
429,anime,None
430,anime,None
431,anime,None
432,anime,None
433,indie folk,None
434,anime,None
435,japanese,None
436,anime,None
437,japanese,None
438,Soundtrack,None
439,Soundtrack,None
440,anime,None
441,Grunge,None
442,Grunge,None
443,Grunge,None
444,Grunge,None
445,Grunge,None
446,Grunge,None
447,rock,None
448,Grunge,None
449,Grunge,None
450,Grunge,None
451,Grunge,None
452,Grunge,None
453,Grunge,None
454,Grunge,None
455,alternative,None
456,pop,None
457,rock,None
458,rock,None
459,rock,None
460,rock,None
461,rock,None
462,rock,None
463,pop,None
464,electronic,None
465,electronic,None
466,tokio hotel gif,None
467,electronic,None
468,acoustic,None
469,electronic,None
470,electronic,None
471,electronic,None
472,electronic,None
473,pop,None
474,rock,None
475,german,None
476,german,None
477,anime,None
478,anime,None
479,pop,None
480,electronic,None
481,synthpop,None
482,synthpop,None
483,night,None
484,alternative rock,None
485,indie,None
486,alternative rock,None
487,alternative,None
488,alternative,None
489,alternative rock,None
490,indie,None
491,indie,None
492,french,None
493,female vocalists,None
494,female vocalists,None
495,female vocalists,None
496,electronic,None
497,Soundtrack,None
498,pop,None
499,indie pop,None
500,indie,None
501,electronic,None
502,indie,None
503,trip-hop,None
504,alternative rock,None
505,electronic,None
506,alternative,None
507,japanese,None
508,japanese,None
509,anime,None
510,japanese,None
511,night,None
512,japanese,None
513,synthpop,None
514,electronic,None
515,japanese,None
516,synthpop,None
517,synthpop,None
518,night,None
519,rock,None
520,rock,None
521,alternative,None
522,alternative,None
523,Grunge,None
524,beautiful,None
525,indie rock,None
526,electronic,None
527,synthpop,None
528,synthpop,None
529,Soundtrack,None
530,electronic,None
531,japanese,None
532,japanese,None
533,female vocalists,None
534,pop,None
535,be-my-baby drum,None
536,electronic,None
537,electronic,None
538,female vocalists,None
539,singer-songwriter,None
540,american,None
541,synthpop,None
542,synthpop,None
543,night,None
544,american,None
545,rock,None
546,rock,None
547,alternative,None
548,alternative,None
549,Grunge,None
550,beautiful,None
551,trip-hop,None
552,anime,None
553,j-pop,None
554,indie rock,None
555,instrumental,None
556,instrumental,None
557,indie,None
558,pop,None
559,indie,None
560,j-pop,None
561,j-pop,None
562,j-pop,None
563,indie rock,None
564,indie rock,None
565,indie rock,None
566,Classical,None
567,Classical,None
568,Soundtrack,None
569,Soundtrack,None
570,instrumental,None
571,Soundtrack,None
572,Soundtrack,None
573,Soundtrack,None
574,Soundtrack,None
575,Soundtrack,None
576,instrumental,None
577,Soundtrack,None
578,Soundtrack,None
579,Soundtrack,None
580,indie,None
581,indie,None
582,electronic,None
583,electronic,None
584,indie,None
585,indie rock,None
586,indie rock,None
587,rock,None
588,electronic,None
589,alternative rock,None
590,mainplaylist,None
591,mainplaylist,None
592,mainplaylist,None
593,mainplaylist,None
594,alternative,None
595,electronic,None
596,alternative rock,None
597,alternative rock,None
598,electronic,None
599,alternative rock,None
600,alternative rock,None
601,J-rock,None
602,J-rock,None
603,J-rock,None
604,alternative,None
605,synthpop,None
606,synthpop,None
607,electronic,None
608,electronic,None
609,dream pop,None
610,electronic,None
611,electronic,None
612,synthpop,None
613,dream pop,None
614,dream pop,None
615,rock,None
616,Soundtrack,None
617,alternative rock,None
618,dream pop,None
619,rock,None
620,Awesome,None
621,rock,None
622,indie,None
623,Grunge,None
624,dream pop,None
625,Soundtrack,None
626,anime,None
627,Soundtrack,None
628,Classical,None
629,Classical,None
630,Classical,None
631,Classical,None
632,Classical,None
633,eerie,None
634,Soundtrack,None
635,Soundtrack,None
636,Soundtrack,None
637,Soundtrack,None
638,Soundtrack,None
639,anime,None
640,anime,None
641,names of people,None
642,Soundtrack,None
643,Soundtrack,None
644,Soundtrack,None
645,Soundtrack,None
646,Soundtrack,None
647,Soundtrack,None
648,Soundtrack,None
649,Soundtrack,None
650,Soundtrack,None
651,Soundtrack,None
652,Soundtrack,None
653,Soundtrack,None
654,night,None
655,night,None
656,rock,None
657,rock,None
658,rock,None
659,british,None
660,night,None
661,alternative,None
662,alternative,None
663,british,None
664,rock,None
665,rock,None
666,rock,None
667,rock,None
668,british,None
669,alternative,None
670,indie,None
671,alternative,None
672,alternative,None
673,indie,None
674,female vocalists,None
675,Fave Indie Pop,None
676,love at first listen,None
677,indie,None
678,japanese,None
679,beautiful,None
680,beautiful,None
681,title track,None
682,anime,None
683,anime,None
684,anime,None
685,anime,None
686,japanese,None
687,japanese,None
688,Chara,None
689,rock,None
690,electronic,None
691,Rock en Espanol,None
692,indie pop,None
693,dream pop,None
694,electronic,None
695,indie rock,None
696,pop,None
697,alternative,None
698,pop,None
699,dream pop,None
700,indie,None
701,indie,None
702,indie,None
703,obscure yet streamable tracks,None
704,rock,None
705,Grunge,None
706,alternative rock,None
707,indie,None
708,alternative,None
709,electronic,None
710,alternative,None
711,rock,None
712,Soundtrack,None
713,indie,None
714,rock,None
715,shoegaze,None
716,pop,None
717,pop,None
718,indie rock,None
719,synthpop,None
720,pop,None
721,indie rock,None
722,electronic,None
723,electronic,None
724,electronic,None
725,electronic,None
726,rock,None
727,trip-hop,None
728,rock,None
729,indie,None
730,indie,None
731,rock,None
732,indie,None
733,alternative,None
734,alternative,None
735,alternative,None
736,alternative,None
737,alternative,None
738,Soundtrack,None
739,anime,None
740,rock,None
741,rock,None
742,alternative,None
743,alternative,None
744,alternative rock,None
745,alternative rock,None
746,alternative rock,None
747,trip-hop,None
748,rock,None
749,indie,None
750,indie,None
751,alternative,None
752,alternative,None
753,Soundtrack,None
754,Soundtrack,None
755,trip-hop,None
756,trip-hop,None
757,rock,None
758,rock,None
759,indie,None
760,pop,None
761,indie rock,None
762,indie rock,None
763,synthpop,None
764,synthpop,None
765,indie,None
766,Soundtrack,None
767,Soundtrack,None
768,trip-hop,None
769,instrumental,None
770,pop,None
771,trip-hop,None
772,pop,None
773,trip-hop,None
774,electronic,None
775,somafm,None
776,indie,None
777,pop,None
778,alternative,None
779,electronic,None
780,anime,None
781,anime,None
782,indie,None
783,rock,None
784,Soundtrack,None
785,indie,None
786,indie,None
787,indie,None
788,indie,None
789,indie,None
790,indie,None
791,alternative,None
792,indie,None
793,indie,None
794,indie pop,None
795,indie,None
796,indie,None
797,indie,None
798,indie,None
799,female vocalists,None
800,indie pop,None
801,indie,None
802,indie,None
803,electronic,None
804,indie,None
805,british,None
806,indie,None
807,indie,None
808,indie,None
809,pop,None
810,british,None
811,pop,None
812,rock,None
813,rock,None
814,rock,None
815,rock,None
816,rock,None
817,rock,None
818,rock,None
819,rock,None
820,title track,None
821,japanese,None
822,anime,None
823,anime,None
824,alternative,None
825,indie,None
826,indie,None
827,indie rock,None
828,indie,None
829,rock,None
830,indie pop,None
831,Soundtrack,None
832,mainplaylist,None
833,alternative rock,None
834,indie,None
835,alternative rock,None
836,alternative,None
837,indie,None
838,indie,None
839,indie,None
840,french,None
841,female vocalists,None
842,female vocalists,None
843,female vocalists,None
844,electronic,None
845,Soundtrack,None
846,pop,None
847,indie,None
848,somafm,None
849,electronic,None
850,indie,None
851,trip-hop,None
852,alternative rock,None
853,indie rock,None
854,american,None
855,rock,None
856,pop,None
857,alternative rock,None
858,rock,None
859,rock,None
860,indie rock,None
861,rock,None
862,indie,None
863,alternative,None
864,pop,None
865,female vocalists,None
866,female vocalists,None
867,pop,None
868,pop,None
869,pop,None
870,pop,None
871,pop,None
872,pop,None
873,pop,None
874,pop,None
875,alternative,None
876,alternative,None
877,alternative rock,None
878,pop,None
879,alternative rock,None
880,rock,None
881,alternative,None
882,alternative,None
883,alternative,None
884,indie pop,None
885,Soundtrack,None
886,electronic,None
887,alternative,None
888,alternative,None
889,alternative rock,None
890,pop,None
891,alternative rock,None
892,rock,None
893,alternative,None
894,alternative rock,None
895,rock,None
896,indie,None
897,Grunge,None
898,Grunge,None
899,indie rock,None
900,female vocalists,None
901,indie,None
902,indie rock,None
903,female vocalists,None
904,female vocalists,None
905,beautiful,None
906,anime,None
907,anime,None
908,japanese,None
909,J-rock,None
910,anime,None
911,anime,None
912,indie,None
913,anime soundtracks,None
914,alternative rock,None
915,electropop,None
916,american,None
917,2010s,None
918,american,None
919,british,None
920,british,None
921,alternative rock,None
922,trip-hop,None
923,trip-hop,None
924,alternative,None
925,rock,None
926,k-pop,None
927,alternative,None
928,mistagged,None
929,alternative,None
930,indie rock,None
931,Soundtrack,None
932,alternative,None
933,beautiful,None
934,indie,None
935,Grunge,None
936,rock en español,None
937,80s,None
938,rock,None
939,beautiful,None
940,anime,None
941,anime,None
942,anime,None
943,Soundtrack,None
944,anime,None
945,anime,None
946,japanese,None
947,japanese,None
948,japanese,None
949,japanese,None
950,japanese,None
951,japanese,None
952,japanese,None
953,japanese,None
954,japanese,None
955,J-rock,None
956,J-rock,None
957,J-rock,None
958,J-rock,None
959,J-rock,None
960,Soundtrack,None
961,Soundtrack,None
962,anime,None
963,anime,None
964,anime,None
965,anime,None
966,anime,None
967,anime,None
968,anime,None
969,indie,None
970,indie,None
971,indie,None
972,Chara,None
973,Chara,None
974,Chara,None
975,Chara,None
976,Chara,None
977,Soundtrack,None
978,Soundtrack,None
979,Soundtrack,None
980,Soundtrack,None
981,alternative,None
982,rock,None
983,alternative rock,None
984,alternative rock,None
985,alternative rock,None
986,alternative rock,None
987,Grunge,None
988,alternative,None
989,pop,None
990,Soundtrack,None
991,Soundtrack,None
992,Soundtrack,None
993,beautiful,None
994,80s,None
995,chillout,None
996,alternative,None
997,indie,None
998,rock,None
999,rock,None
1000,alternative rock,None
1001,alternative rock,None
1002,indie,None
1003,indie,None
1004,indie,None
1005,alternative rock,None
1006,dream pop,None
1007,indie,None
1008,dream pop,None
1009,dream pop,None
1010,dream pop,None
1011,synthpop,None
1012,indie,None
1013,indie,None
1014,indie rock,None
1015,alternative,None
1016,alternative,None
1017,alternative,None
1018,indie,None
1019,rock,None
1020,alternative,None
1021,alternative rock,None
1022,electronic,None
1023,alternative rock,None
1024,rock,None
1025,indie rock,None
1026,american,None
1027,electronic,None
1028,electronic,None
1029,anime,None
1030,alternative,None
1031,j-pop,None
1032,j-pop,None
1033,Awesome,None
1034,dream pop,None
1035,alternative,None
1036,rock,None
1037,rock,None
1038,pop,None
1039,alternative,None
1040,dream pop,None
1041,alternative rock,None
1042,title track,None
1043,Soundtrack,None
1044,Soundtrack,None
1045,anime,None
1046,anime,None
1047,title track,None
1048,j-pop,None
1049,Chara,None
1050,j-pop,None
1051,Chara,None
1052,japanese,None
1053,anime,None
1054,indie,None
1055,Soundtrack,None
1056,Soundtrack,None
1057,Soundtrack,None
1058,Soundtrack,None
1059,Soundtrack,None
1060,anime,None
1061,indie,None
1062,indie,None
1063,indie rock,None
1064,alternative,None
1065,indie,None
1066,female vocalists,None
1067,1,None
1068,electronic,None
1069,indie pop,None
1070,pop,None
1071,alternative rock,None
1072,somafm,None
1073,pop,None
1074,indie,None
1075,folk,None
1076,indie,None
1077,pop,None
1078,pop,None
1079,pop,None
1080,electronic,None
1081,electronic,None
1082,electronic,None
1083,indie,None
1084,indie,None
1085,indie,None
1086,alternative rock,None
1087,alternative rock,None
1088,alternative rock,None
1089,alternative rock,None
1090,alternative rock,None
1091,alternative rock,None
1092,alternative rock,None
1093,alternative rock,None
1094,alternative rock,None
1095,alternative rock,None
1096,alternative rock,None
1097,alternative rock,None
1098,indie,None
1099,indie,None
1100,indie,None
1101,indie,None
1102,indie,None
1103,indie,None
1104,rock,None
1105,rock,None
1106,rock,None
1107,indie rock,None
1108,indie rock,None
1109,indie rock,None
1110,rock,None
1111,rock,None
1112,rock,None
1113,rock,None
1114,rock,None
1115,rock,None
1116,rock,None
1117,rock,None
1118,rock,None
1119,rock,None
1120,rock,None
1121,rock,None
1122,rock,None
1123,rock,None
1124,rock,None
1125,Classical,None
1126,Classical,None
1127,Classical,None
1128,Classical,None
1129,Classical,None
1130,Classical,None
1131,Classical,None
1132,Classical,None
1133,Classical,None
1134,electronic,None
1135,electronic,None
1136,electronic,None
1137,electronic,None
1138,electronic,None
1139,Classical,None
1140,Classical,None
1141,Classical,None
1142,Classical,None
1143,Classical,None
1144,Classical,None
1145,indie,None
1146,indie,None
1147,indie,None
1148,indie,None
1149,indie,None
1150,indie,None
1151,Lara-Loved,None
1152,Lara-Loved,None
1153,Lara-Loved,None
1154,electronic,None
1155,electronic,None
1156,electronic,None
1157,electronic,None
1158,electronic,None
1159,electronic,None
1160,electronic,None
1161,electronic,None
1162,electronic,None
1163,alternative,None
1164,alternative,None
1165,alternative,None
1166,Soundtrack,None
1167,Soundtrack,None
1168,Soundtrack,None
1169,Soundtrack,None
1170,Soundtrack,None
1171,Soundtrack,None
1172,dream pop,None
1173,dream pop,None
1174,dream pop,None
1175,dream pop,None
1176,dream pop,None
1177,dream pop,None
1178,rock,None
1179,rock,None
1180,rock,None
1181,rock,None
1182,rock,None
1183,rock,None
1184,alternative,None
1185,alternative,None
1186,alternative,None
1187,alternative,None
