,genre_sequence,unique_genres
0,indie,indie
1,acoustic,acoustic
2,indie,christmas
3,christmas,indietronica
4,indietronica,BIRP
5,BIRP,singer-songwriter
6,singer-songwriter,electronic
7,indietronica,glitch
8,indie,post-rock
9,electronic,House
10,glitch,cover
11,indie,indie rock
12,post-rock,chillout
13,electronic,experimental
14,House,Electronic Pop
15,indie,Hip-Hop
16,electronic,classic rock
17,cover,folk
18,electronic,somafm
19,indie rock,alternative
20,indie,indie pop
21,chillout,rock
22,House,electro-swing
23,experimental,britpop
24,Electronic Pop,breakbeat
25,indie,mashup
26,Hip-Hop,Canadian
27,indie,upbeat
28,classic rock,spooky
29,folk,electropop
30,electronic,Progressive rock
31,somafm,pop
32,alternative,beats
33,indie pop,chillwave
34,indie,chill
35,electronic,blues rock
36,chillout,instrumental
37,electronic,Retro Swing
38,electronic,best of 2012
39,indie,noise
40,indie,tohu-bohu
41,rock,tribal fusion
42,electro-swing,weeds
43,indie,psychedelic
44,electronic,cool people on cool drugs
45,indie,australian
46,electronic,production
47,electronic,Lo-Fi
48,indie pop,idm
49,indie,ElectglitchdubhoP
50,britpop,metro downtempo
51,indie,mpsvd-luisterpaal-j
52,indie pop,npr music
53,indie,Bittersweet
54,indie,alternative rock
55,breakbeat,world fusion
56,mashup,shit
57,singer-songwriter,Nic Harcourt
58,post-rock,memories
59,Canadian,blues
60,upbeat,sad
61,indie,pop punk
62,electronic,wishlist
63,somafm,remix
64,spooky,female vocalists
65,indie,Soundtracks
66,indie rock,animals
67,indie,lounge
68,electronic,synthpop
69,electronic,electrosexual
70,folk,goodnightmom
71,folk,downtempo
72,christmas,Awesome
73,indie,abstract
74,electropop,goeiepoep
75,alternative,chillshoe and wavegaze
76,Progressive rock,good
77,pop,early morning
78,beats,Tagit
79,chillwave,deep
80,alternative,Disco
81,chill,darkwave
82,blues rock,Like or Like Like
83,electronic,anthony green
84,electronic,songs to kill yourself to
85,indie,nice
86,folk,post rock
87,instrumental,rocket shoes mixtapes
88,electronic,electro
89,electronic,Love
90,post-rock,loved tracks 2011
91,Retro Swing,american
92,electronic,british i like
93,best of 2012,electro dj
94,indie,Soundtrack
95,pop,mary music
96,indie,nice fur
97,indie,relax
98,indie,every day is not a fight
99,folk,handclaps
100,indie,shoegaze
101,acoustic,catchy
102,electronic,happy
103,indie rock,reggae
104,pop,strings organs rubber wind
105,electronic,clay in the hut
106,noise,electro-pop
107,indie,Turning page instrumental
108,Electronic Pop,indie sad rock
109,chillwave,quiet rock
110,tohu-bohu,bloghouse
111,electronic,indie disco
112,tribal fusion,rock band
113,indie rock,zombieland
114,electronic,turquoise and coral
115,chill,whiffer unbound
116,post-rock,love at first listen
117,electronic,glitch-hop
118,indie,elektronic beats
119,electronic,an impressive band
120,electronic,vule
121,indie rock,metro electronica
122,folk,dubstep
123,electropop,trance
124,indie pop,Tasty
125,indie,trancedelic
126,indie,Dumbstep
127,electronic,ministry of sound
128,indie,Drum and bass
129,indie,moombahton
130,indie rock,moombahcore
131,beats,dub
132,indie rock,Worst Deadmau5 track
133,alternative,electro-house
134,alternative,dense
135,pop,check out
136,indie,roktronic
137,electronic,Filthstep
138,electronic,hip hop tag
139,pop,progressive psytrance
140,indie,favourite remixes
141,weeds,leapsandleeloo
142,indie,lovedbyme1
143,electronic,darkstep
144,experimental,dlaug2011
145,psychedelic,unpleasantly repetitive
146,indie,turntablism
147,indie,Tags are so useless
148,electronic,american i like
149,cool people on cool drugs,psytrance
150,electronic,cosmic country and psychedelic americana
151,indie rock,vugube62
152,indietronica,dance
153,electronic,definitive
154,pop,2016
155,chillwave,mosavo
156,Electronic Pop,Gypsy
157,rock,Like
158,australian,great sampling
159,folk,The Devil and The Deep Blue Sea
160,chillwave,live music
161,chillwave,Pennsylvania
162,indie,8 of 10 stars
163,indie,7 of 10 stars
164,production,listened and said no thanks
165,indie,import
166,Retro Swing,audioase
167,folk,heard on Pandora
168,indie rock,british
169,electronic,twee
170,folk,hip hop
171,indie,radio ma baker
172,indie,agitating
173,Lo-Fi,fidget house
174,indie,utterly enjoyable
175,singer-songwriter,epic
176,indie,french
177,breakbeat,the streets
178,alternative,childrens
179,idm,singer-songwritergdchill
180,ElectglitchdubhoP,People Bumps
181,indie,indie folk
182,electronic,es ist ippie shit
183,indie rock,the big c
184,blues rock,None
185,alternative,None
186,acoustic,None
187,indie,None
188,indie,None
189,indie,None
190,indie,None
191,indie,None
192,indie,None
193,folk,None
194,indie,None
195,indie rock,None
196,pop,None
197,electronic,None
198,indie,None
199,electronic,None
200,alternative,None
201,post-rock,None
202,acoustic,None
203,electronic,None
204,alternative,None
205,electronic,None
206,folk,None
207,chillout,None
208,BIRP,None
209,electronic,None
210,beats,None
211,blues rock,None
212,indie,None
213,alternative,None
214,electronic,None
215,post-rock,None
216,electronic,None
217,cover,None
218,glitch,None
219,electronic,None
220,electronic,None
221,folk,None
222,electronic,None
223,pop,None
224,indietronica,None
225,folk,None
226,electronic,None
227,blues rock,None
228,electronic,None
229,indie pop,None
230,electronic,None
231,chillout,None
232,indie,None
233,electronic,None
234,chillout,None
235,electronic,None
236,folk,None
237,acoustic,None
238,ElectglitchdubhoP,None
239,post-rock,None
240,alternative,None
241,folk,None
242,indie,None
243,electronic,None
244,metro downtempo,None
245,psychedelic,None
246,indie,None
247,alternative,None
248,indie,None
249,indie rock,None
250,chillwave,None
251,instrumental,None
252,cover,None
253,indie,None
254,electronic,None
255,rock,None
256,indietronica,None
257,indie rock,None
258,indie,None
259,indie,None
260,beats,None
261,Electronic Pop,None
262,electronic,None
263,electronic,None
264,indie,None
265,indie,None
266,indie,None
267,indie,None
268,indie,None
269,indie,None
270,indie,None
271,indie rock,None
272,indie rock,None
273,indie,None
274,indie,None
275,indie rock,None
276,indie,None
277,indie,None
278,indie rock,None
279,indie,None
280,indie rock,None
281,indie,None
282,indie,None
283,indie,None
284,pop,None
285,indie,None
286,alternative,None
287,indie,None
288,indie,None
289,indie rock,None
290,indie rock,None
291,indie,None
292,indie,None
293,indie,None
294,indie,None
295,indie,None
296,indie,None
297,indie,None
298,indie rock,None
299,indie,None
300,indie,None
301,indie,None
302,indie,None
303,indie,None
304,experimental,None
305,indie,None
306,folk,None
307,indie rock,None
308,indie,None
309,indie,None
310,indie,None
311,indie,None
312,electronic,None
313,indie pop,None
314,BIRP,None
315,electronic,None
316,electronic,None
317,pop,None
318,pop,None
319,pop,None
320,pop,None
321,chillout,None
322,electronic,None
323,chill,None
324,beats,None
325,idm,None
326,christmas,None
327,christmas,None
328,christmas,None
329,christmas,None
330,christmas,None
331,christmas,None
332,christmas,None
333,christmas,None
334,christmas,None
335,indie,None
336,indie,None
337,indie,None
338,folk,None
339,chillout,None
340,folk,None
341,indie,None
342,chill,None
343,indie,None
344,chillout,None
345,indie,None
346,mpsvd-luisterpaal-j,None
347,mashup,None
348,mashup,None
349,mashup,None
350,mashup,None
351,npr music,None
352,post-rock,None
353,post-rock,None
354,post-rock,None
355,post-rock,None
356,post-rock,None
357,post-rock,None
358,indietronica,None
359,indie,None
360,indie,None
361,indie,None
362,indie,None
363,acoustic,None
364,indie pop,None
365,indie,None
366,indie,None
367,indie rock,None
368,indie,None
369,indie,None
370,indie,None
371,Bittersweet,None
372,Hip-Hop,None
373,singer-songwriter,None
374,acoustic,None
375,indie,None
376,indie pop,None
377,indie pop,None
378,indie,None
379,chillout,None
380,chillout,None
381,chillout,None
382,chillout,None
383,rock,None
384,chillout,None
385,rock,None
386,rock,None
387,rock,None
388,rock,None
389,rock,None
390,rock,None
391,rock,None
392,rock,None
393,rock,None
394,rock,None
395,rock,None
396,rock,None
397,rock,None
398,indie,None
399,electronic,None
400,alternative rock,None
401,indie,None
402,folk,None
403,folk,None
404,electronic,None
405,post-rock,None
406,post-rock,None
407,post-rock,None
408,post-rock,None
409,post-rock,None
410,Hip-Hop,None
411,Hip-Hop,None
412,Hip-Hop,None
413,Hip-Hop,None
414,Hip-Hop,None
415,Hip-Hop,None
416,Hip-Hop,None
417,indie,None
418,psychedelic,None
419,electronic,None
420,electronic,None
421,indie,None
422,christmas,None
423,electronic,None
424,instrumental,None
425,ElectglitchdubhoP,None
426,experimental,None
427,electronic,None
428,electronic,None
429,indietronica,None
430,electronic,None
431,psychedelic,None
432,electronic,None
433,electronic,None
434,electronic,None
435,tribal fusion,None
436,world fusion,None
437,electronic,None
438,world fusion,None
439,tribal fusion,None
440,electronic,None
441,chill,None
442,chillwave,None
443,chillwave,None
444,indie,None
445,indie,None
446,indie,None
447,indie,None
448,indie,None
449,indie,None
450,indie,None
451,indie,None
452,indie,None
453,indie,None
454,indie,None
455,indie,None
456,shit,None
457,experimental,None
458,electronic,None
459,instrumental,None
460,experimental,None
461,experimental,None
462,instrumental,None
463,experimental,None
464,acoustic,None
465,experimental,None
466,electronic,None
467,instrumental,None
468,ElectglitchdubhoP,None
469,ElectglitchdubhoP,None
