,genre_sequence,unique_genres
304,indie pop,None
305,indie rock,None
306,alternative,None
307,alternative,None
308,liked,None
309,alternative,None
310,indie,None
311,indie rock,None
312,2008,None
313,Clementine remix,None
314,electronic,None
315,indie rock,None
316,indie,None
317,alternative,None
318,indie rock,None
319,electronic,None
320,indie,None
321,indie rock,None
322,indie rock,None
323,indie rock,None
324,indie rock,None
325,indie,None
326,indie rock,None
327,indie,None
328,electronic,None
329,experimental,None
330,ambient,None
331,instrumental,None
332,indie,None
333,experimental,None
334,electronic,None
335,indie,None
336,electronic,None
337,indie pop,None
338,electronic,None
339,indie,None
340,ambient,None
341,experimental,None
342,electronic,None
343,Soundtrack,None
344,indie,None
345,chillout,None
346,Lo-Fi,None
347,indie pop,None
348,electronic,None
349,electronic,None
350,electropop,None
351,electronic,None
352,indie,None
353,alternative,None
354,electronic,None
355,Lo-Fi,None
356,Soundtrack,None
357,indie,None
358,chillout,None
359,indie,None
360,singer-songwriter,None
361,indie rock,None
362,indie,None
363,rock,None
364,alternative,None
365,rock,None
366,rock,None
367,rock,None
368,indie,None
369,indie,None
370,best of 2012,None
371,indie pop,None
372,Soundtrack,None
373,fun,None
374,electronic,None
375,funk,None
376,electronic,None
377,electropop,None
378,indie,None
379,Lo-Fi,None
380,Soundtrack,None
381,experimental,None
382,indie,None
383,indietronica,None
384,indie,None
385,rock,None
386,chillwave,None
387,indie,None
388,singer-songwriter,None
389,indie,None
390,chillwave,None
391,rock,None
392,indie,None
393,indie,None
394,indie,None
395,singer-songwriter,None
396,indie,None
397,Lo-Fi,None
398,indie,None
399,singer-songwriter,None
400,indie,None
401,indie,None
402,indie,None
403,rock,None
404,chillwave,None
405,indie,None
406,indie,None
407,indie,None
408,singer-songwriter,None
409,indie,None
410,indie,None
411,Lo-Fi,None
412,chillout,None
413,indie,None
414,indie,None
415,summer,None
416,Lo-Fi,None
417,indie,None
418,rock,None
419,rock,None
420,rock,None
421,alternative,None
422,electronic,None
423,electronic,None
424,indie,None
425,indie,None
426,electronic,None
427,Soundtrack,None
428,rock,None
429,indie,None
430,electropop,None
431,Lo-Fi,None
432,indie,None
433,chillwave,None
434,Lo-Fi,None
435,folk,None
436,Lo-Fi,None
437,indie,None
438,electronic,None
439,chill,None
440,pop,None
441,indie,None
442,indie,None
443,electropop,None
444,singer-songwriter,None
445,electronic,None
446,Lo-Fi,None
447,chillwave,None
448,indie,None
449,singer-songwriter,None
450,Lo-Fi,None
451,Soundtrack,None
452,rock,None
453,indie,None
454,electronic,None
455,indie,None
456,alternative,None
457,summer,None
458,singer-songwriter,None
459,Clementine remix,None
460,experimental,None
461,indie,None
462,rock,None
463,indie rock,None
464,chillout,None
465,indie,None
466,electropop,None
467,indie,None
468,electronic,None
469,indie,None
470,indie,None
471,indie,None
472,indie,None
473,indie,None
474,indie,None
475,electronic,None
476,North Carolina,None
477,surf rock,None
478,indie,None
479,psychedelic pop,None
480,electronic,None
481,ost,None
482,skins us,None
483,indie,None
484,indietronica,None
485,electronic,None
486,indie,None
487,indie,None
488,indie rock,None
489,indie,None
490,indie,None
491,indie,None
492,electronic,None
493,indietronica,None
494,indie,None
495,indie,None
496,indie,None
497,indie rock,None
498,indie,None
499,skins us,None
500,ost,None
501,somafm,None
502,indie,None
503,indie,None
504,indie,None
505,indie,None
506,indie,None
507,indie,None
508,indie,None
509,indie,None
510,chill,None
511,like2009-2014,None
512,electropop,None
513,alternative,None
514,indie,None
515,electronic,None
516,indie pop,None
517,indie pop,None
518,indie,None
519,indie,None
520,indie,None
521,electronic,None
522,singer-songwriter,None
523,indie,None
524,classic rock,None
525,rock,None
526,classic rock,None
527,classic rock,None
528,rock,None
529,classic rock,None
530,classic rock,None
531,classic rock,None
532,rock,None
533,indie,None
534,rock,None
535,experimental,None
536,electronic,None
537,electronic,None
538,pop,None
539,electronic,None
540,electronic,None
541,electronic,None
542,folk,None
543,Lo-Fi,None
544,vugube62,None
545,indie,None
546,indie,None
547,chillout,None
548,indie,None
549,indie,None
550,rock,None
551,indie,None
552,rock,None
553,indie,None
554,rock,None
555,indie,None
556,indie,None
557,indie rock,None
558,indie rock,None
559,pop,None
560,BIRP,None
561,rock,None
562,I thought of you,None
563,electronic,None
564,rock,None
565,vugube62,None
566,80s,None
567,singer-songwriter,None
568,singer-songwriter,None
569,singer-songwriter,None
570,folk,None
571,singer-songwriter,None
572,classic rock,None
573,Calming,None
574,jazz,None
575,exuberant folk,None
576,fun,None
577,Hip-Hop,None
578,rock,None
579,electronic,None
580,electronic,None
581,indie,None
582,indie,None
583,indie,None
584,indie,None
585,indie,None
586,electronic,None
587,rock,None
588,indie,None
589,electronic,None
590,80s,None
591,indie rock,None
592,indie pop,None
593,electronic,None
594,ambient,None
595,ambient,None
596,BIRP,None
597,indie,None
598,experimental,None
599,indie,None
600,chillwave,None
601,electronic,None
602,indie pop,None
603,indie,None
604,indie pop,None
605,alternative,None
606,alternative,None
607,80s,None
608,electronic,None
609,synthpop,None
610,indie,None
611,electronic,None
612,Lo-Fi,None
613,synthpop,None
614,folk,None
615,electronic,None
616,electronic,None
617,electronic,None
618,indie,None
619,folk,None
620,indie,None
621,dream pop,None
622,skins,None
623,indie,None
624,chillout,None
625,alternative,None
626,BIRP,None
627,electronic,None
628,pop,None
629,chillout,None
630,Lo-Fi,None
631,electronic,None
632,rock,None
633,indie,None
634,indie pop,None
635,1Live Fiehe,None
636,loneliness after dusk,None
637,alternative,None
638,indie,None
639,chillout,None
640,indie,None
641,synthpop,None
642,chillwave,None
643,electronic,None
644,indie,None
645,indie,None
646,indie,None
647,indie,None
648,synthpop,None
649,House,None
650,Awesome,None
651,WKNC,None
652,singer-songwriter,None
653,rock,None
654,rock,None
655,Hip-Hop,None
656,Hip-Hop,None
657,Hip-Hop,None
658,Hip-Hop,None
659,rock,None
660,alternative,None
661,rock,None
662,rock,None
663,rock,None
664,indie,None
665,indie,None
666,best of 2012,None
667,pop,None
668,rock,None
669,Hip-Hop,None
670,rock,None
671,Hip-Hop,None
672,classic rock,None
673,classic rock,None
674,classic rock,None
675,rock,None
676,pop,None
677,rock,None
678,Hip-Hop,None
679,pop,None
680,indie,None
681,indie,None
682,shoegaze,None
683,indie,None
684,singer-songwriter,None
685,indie,None
686,indie,None
687,indie,None
688,indie,None
689,indie,None
690,folk,None
691,indie,None
692,indie,None
693,indie pop,None
694,indie,None
695,indie pop,None
696,indie pop,None
697,indie pop,None
698,rock,None
699,rock,None
700,Hip-Hop,None
701,pop,None
702,rock,None
703,rock,None
704,rock,None
705,electronic,None
706,80s,None
707,indie rock,None
708,indie pop,None
709,electronic,None
710,ambient,None
711,ambient,None
712,BIRP,None
713,indie,None
714,experimental,None
715,indie,None
716,chillwave,None
717,electronic,None
718,indie pop,None
719,alternative,None
720,rock,None
721,featuring,None
722,80s,None
723,indie,None
724,pop,None
725,pop,None
726,indie pop,None
727,pop,None
728,pop,None
729,rock,None
730,Lo-Fi,None
731,indie,None
732,liked,None
733,80s,None
734,latin,None
735,latin,None
736,80s,None
737,singer-songwriter,None
738,singer-songwriter,None
739,singer-songwriter,None
740,indie,None
741,instrumental,None
742,indie,None
743,singer-songwriter,None
744,indie,None
745,indie pop,None
746,indie pop,None
747,indie pop,None
748,Lo-Fi,None
749,indie pop,None
750,indie,None
751,indie,None
752,indie,None
753,indie,None
754,indie pop,None
755,80s,None
756,pop,None
757,pop,None
758,80s,None
759,Hip-Hop,None
760,pop,None
761,indie,None
762,indie,None
763,rock,None
764,rock,None
765,rock,None
766,Hip-Hop,None
767,pop,None
768,indie,None
769,folk,None
770,indie,None
771,indie,None
772,rock,None
773,so good i forget to breathe,None
774,rock,None
775,rock,None
776,BIRP,None
777,dream pop,None
778,Soundtrack,None
779,Hip-Hop,None
780,Hip-Hop,None
781,chillwave,None
782,pop,None
783,alternative,None
784,dream pop,None
785,chillwave,None
786,Hip-Hop,None
787,pop,None
788,chillwave,None
789,pop,None
790,indie,None
791,Electro Pop,None
792,chill-fi,None
793,indie pop,None
794,indie,None
795,electronic,None
796,electronic,None
797,electronic,None
798,pop,None
799,dream pop,None
800,pop,None
801,electronic,None
802,electronic,None
803,electronic,None
804,electronic,None
805,electronic,None
806,folk,None
807,electronic,None
808,folk,None
809,electronic,None
810,electronic,None
811,electronic,None
812,electronic,None
813,electronic,None
814,pop,None
815,indie,None
816,singer-songwriter,None
817,folk,None
818,classic rock,None
819,folk,None
820,indie rock,None
821,folk,None
822,folk,None
823,dream pop,None
824,dream pop,None
825,dream pop,None
826,indie,None
827,rock,None
828,Hip-Hop,None
829,indie,None
830,electronic,None
831,chillout,None
832,indie,None
833,dream pop,None
834,synthpop,None
835,electronic,None
836,synthpop,None
837,darkwave,None
838,electronic,None
839,indie,None
840,electronic,None
841,pop,None
842,rock,None
843,indie,None
844,indie,None
845,singer-songwriter,None
846,indie,None
847,indie pop,None
848,indie,None
849,indie pop,None
850,chillout,None
851,electronic,None
852,indie,None
853,singer-songwriter,None
854,indie,None
855,indie,None
856,indie,None
857,indie,None
858,indie pop,None
859,indie,None
860,indie pop,None
861,indie,None
862,singer-songwriter,None
863,pop,None
864,Hip-Hop,None
865,chill,None
866,indie,None
867,beautiful,None
868,indie,None
869,indie,None
870,Lo-Fi,None
871,ambient,None
872,BIRP,None
873,indie,None
874,Lo-Fi,None
875,ambient,None
876,indie,None
877,indie,None
878,skins us,None
879,chillout,None
880,electronic,None
881,indie,None
882,indie,None
883,instrumental,None
