,genre_sequence,unique_genres
328,hiphop,None
329,electronic,None
330,hiphop,None
331,Grunge,None
332,Grunge,None
333,alternative,None
334,Grunge,None
335,alternative,None
336,rock,None
337,like2009-2014,None
338,indie,None
339,2015,None
340,electronic,None
341,synthpop,None
342,alternative rock,None
343,rock,None
344,alternative,None
345,alternative rock,None
346,rock,None
347,rock,None
348,rock,None
349,rock,None
350,rock,None
351,folk,None
352,indie,None
353,indie,None
354,folk,None
355,folk,None
356,alternative,None
357,hiphop,None
358,like2009-2014,None
359,emo,None
360,metal,None
361,alternative,None
362,Nu Metal,None
363,Grunge,None
364,alternative metal,None
365,metal,None
366,rock,None
367,Nu Metal,None
368,90s,None
369,90s,None
370,folk,None
371,indie,None
372,rock,None
373,alternative rock,None
374,rock,None
375,rock,None
376,rock,None
377,folk,None
378,soul,None
379,post-hardcore,None
380,post-hardcore,None
381,Nu Metal,None
382,country,None
383,country,None
384,country,None
385,country,None
386,folk,None
387,90s,None
388,pop,None
389,alternative,None
390,folk,None
391,alternative rock,None
392,Grunge,None
393,alternative rock,None
394,Grunge,None
395,90s,None
396,classic rock,None
397,rock,None
398,folk,None
399,Grunge,None
400,Grunge,None
401,alternative,None
402,90s,None
403,alternative rock,None
404,90s,None
405,Grunge,None
406,90s,None
407,80s,None
408,punk rock,None
409,punk rock,None
410,punk rock,None
411,punk rock,None
412,punk rock,None
413,folk,None
414,punk rock,None
415,rock,None
416,punk rock,None
417,rock,None
418,alternative rock,None
419,rock,None
420,Grunge,None
421,90s,None
422,rock,None
423,90s,None
424,classic rock,None
425,80s,None
426,80s,None
427,rock,None
428,classic rock,None
429,80s,None
430,hard rock,None
431,classic rock,None
432,synthpop,None
433,80s,None
434,80s,None
435,rock,None
436,80s,None
437,80s,None
438,80s,None
439,pop,None
440,80s,None
441,classic rock,None
442,80s,None
443,80s,None
444,pop,None
445,80s,None
446,80s,None
447,rock,None
448,rock,None
449,rock,None
450,pop,None
451,electronic,None
452,alternative,None
453,classic rock,None
454,90s,None
455,rock,None
456,hip hop,None
457,Hip-Hop,None
458,ost,None
459,rock,None
460,rock,None
461,Hip-Hop,None
462,pop,None
463,electronic,None
464,Hip-Hop,None
465,hiphop,None
466,pop,None
467,electronic,None
468,Hip-Hop,None
469,alternative,None
470,Hip-Hop,None
471,pop,None
472,Hip-Hop,None
473,Nu Metal,None
474,Nu Metal,None
475,Nu Metal,None
476,alternative,None
477,alternative rock,None
478,90s,None
479,90s,None
480,Grunge,None
481,indie,None
482,like2009-2014,None
483,indie,None
484,punk rock,None
485,indie,None
486,indie,None
487,indie,None
488,indie,None
489,rock,None
490,rock,None
491,rock,None
492,indie,None
493,indie,None
494,indie,None
495,indie,None
496,indie,None
497,indie,None
498,indie,None
499,indie,None
500,indie,None
501,Hip-Hop,None
502,rock,None
503,Hip-Hop,None
504,taylor swift,None
505,Hip-Hop,None
506,pop,None
507,Hip-Hop,None
508,Hip-Hop,None
509,pop,None
510,alternative metal,None
511,alternative metal,None
512,metal,None
513,rock,None
514,indie,None
515,punk,None
516,punk,None
517,punk,None
518,punk,None
519,alternative metal,None
520,alternative metal,None
521,indie,None
522,indie,None
523,alternative,None
524,indie,None
525,rock,None
526,indie,None
527,indie,None
528,indie,None
529,rock,None
530,indie,None
531,pop,None
532,Hip-Hop,None
533,Hip-Hop,None
534,indie,None
535,indie,None
536,indie,None
537,post-rock,None
538,emo,None
539,emo,None
540,Nu Metal,None
541,synthpop,None
542,dance,None
543,hiphop,None
544,Hip-Hop,None
545,synthpop,None
546,synthpop,None
547,pop,None
548,electronic,None
549,trap,None
550,pop,None
551,taylor swift,None
552,rock,None
553,Hip-Hop,None
554,hiphop,None
555,electronic,None
556,indie,None
557,pop,None
558,dance,None
559,hiphop,None
560,electronic,None
561,trap,None
562,american,None
563,alternative rock,None
564,strings and amps,None
565,Canadian,None
566,alternative rock,None
567,strings and amps,None
568,Canadian,None
569,Canadian,None
570,alternative rock,None
571,strings and amps,None
572,Canadian,None
573,emo,None
574,post-rock,None
575,emo,None
576,emo,None
577,emo,None
578,emo,None
579,indie,None
580,metalcore,None
581,metalcore,None
582,metalcore,None
583,emo,None
584,emo,None
585,rock,None
586,punk rock,None
587,punk rock,None
588,rock,None
589,80s,None
590,rap,None
591,folk,None
592,3 stars,None
593,indie,None
594,indie,None
595,indie,None
596,indie,None
597,indie,None
598,indie,None
599,post-rock,None
600,folk rock,None
601,indie,None
602,indie,None
603,indie,None
604,indie,None
605,alternative,None
606,indie,None
607,rock,None
608,indie,None
609,rock,None
610,indie,None
611,indie,None
612,indie,None
613,indie,None
614,indie,None
615,indie,None
616,indie,None
617,indie,None
618,metal,None
619,post-hardcore,None
620,screamo,None
621,post-hardcore,None
622,pop,None
623,indie,None
