,genre_sequence,unique_genres
0,male vocalist,male vocalist
1,death metal,death metal
2,death metal,deathgrind
3,death metal,grindcore
4,death metal,metal
5,death metal,goregrind
6,death metal,metalcore
7,death metal,punk
8,deathgrind,experimental
9,grindcore,mathcore
10,metal,industrial
11,goregrind,pop
12,metalcore,punk rock
13,death metal,hardcore
14,goregrind,rap
15,goregrind,alternative
16,death metal,water
17,death metal,industrial metal
18,goregrind,heavy metal
19,goregrind,Nu Metal
20,grindcore,rnb
21,grindcore,chillwave
22,grindcore,summer
23,grindcore,new wave
24,grindcore,lo-fi as hell
25,grindcore,music
26,grindcore,fip
27,grindcore,creaky
28,grindcore,epic
29,grindcore,noise rock
30,grindcore,noisecore
31,punk,noise
32,grindcore,deathcore
33,grindcore,cancionero
34,experimental,Hip-Hop
35,mathcore,Lo-Fi
36,mathcore,Brutal Death Metal
37,industrial,indie
38,industrial,funk
39,industrial,indie pop
40,pop,electronic
41,punk rock,90s
42,hardcore,Canadian
43,hardcore,hip hop
44,rap,orange
45,rap,Wiz Khalifa
46,alternative,Progressive rock
47,alternative,screamo
48,alternative,dissonant
49,alternative,horror punk
50,water,american
51,alternative,Psychedelia
52,alternative,chill
53,alternative,House
54,alternative,2010s
55,alternative,pretty damn good
56,alternative,deep house
57,alternative,emo
58,industrial,personal favourites
59,industrial,synthpop
60,industrial,instrumental
61,industrial,party
62,industrial metal,haunting
63,industrial,listen to yr body
64,industrial metal,me too
65,industrial metal,mamo gdzie moje leki
66,industrial,chamber pop
67,industrial,anna of the north
68,industrial,played
69,industrial,2017 single
70,heavy metal,relax
71,heavy metal,motherfuckin rabbits ejaculating sunshine
72,Nu Metal,Love
73,metal,ost
74,Nu Metal,boys name
75,Nu Metal,shoegaze
76,Nu Metal,downtempo
77,mathcore,lovedbybeyondwithin
78,metalcore,Roctronik
79,rnb,postrock
80,rnb,wirround
81,rnb,hands
82,chillwave,neo-psych
83,chillwave,Neo Soul
84,chillwave,spacing-out
85,chillwave,college rock
86,chillwave,alternative rock
87,chillwave,nu jazz
88,chillwave,nu-disco
89,summer,swedish
90,chillwave,rock
91,chillwave,soft
92,chillwave,a song to listen to in december
93,summer,Emo Diaries
94,chillwave,post-rock
95,chillwave,tlr
96,chillwave,outer space
97,new wave,favorites
98,lo-fi as hell,post-hardcore
99,experimental,bouncy
100,music,underground hip-hop
101,alternative,The Brave Little Toaster
102,fip,abstract
103,hardcore,Angular
104,creaky,perfect
105,mathcore,luvedtrax
106,metalcore,washington
107,mathcore,jazz fusion
108,mathcore,chillout
109,grindcore,Anderson paak
110,mathcore,detroit
111,metal,psychopathic
112,mathcore,mix
113,mathcore,better than my boyfriend
114,mathcore,seen live
115,epic,hallucination music
116,mathcore,pink
117,mathcore,hip hop tag
118,mathcore,jay-z
119,mathcore,4 of 10 stars
120,grindcore,tribal
121,Nu Metal,math rock
122,Nu Metal,edgy
123,metal,electronica
124,grindcore,G-funk
125,noise rock,my fuckin gangsta rap dawg
126,hardcore,r&b
127,noisecore,digitalis
128,noisecore,Die Geilste Band der Welt
129,noisecore,real post-hardcore
130,noisecore,2018 single
131,hardcore,good
132,hardcore,loved
133,hardcore,heben wollen
134,noisecore,ska
135,metal,Awesome
136,mathcore,weird
137,mathcore,life and death
138,mathcore,indie rock
139,grindcore,favorite songs
140,grindcore,shit
141,grindcore,RB
142,noise,Soundtrack
143,mathcore,Hard
144,mathcore,last fm mistake
145,grindcore,Neo-Soul
146,grindcore,inspirational
147,mathcore,psychedelic pop
148,Nu Metal,best of 2018
149,Nu Metal,featuring
150,metal,Spacedog
151,Nu Metal,a
152,Nu Metal,timbaland production
153,metal,dj premier
154,deathcore,video game music
155,noise rock,xlowpunk
156,grindcore,a subtle use of vocal harmony
157,grindcore,ambient
158,cancionero,lyrics
159,grindcore,FM4
160,grindcore,hiphop
161,grindcore,banned
162,grindcore,Mellow
163,grindcore,Dance  DJ
164,grindcore,Rex Orange County
165,grindcore,chilled
166,grindcore,Estelle
167,mathcore,jaden smith
168,hardcore,TLC Waterfalls
169,grindcore,Bagel
170,mathcore,prog rock
171,grindcore,dance
172,grindcore,old school
173,grindcore,classic
174,Hip-Hop,frogs
175,Lo-Fi,Why
176,Lo-Fi,food
177,fip,wow
178,Brutal Death Metal,dont play my bassline wrong dickhead
179,deathcore,My Playlist
180,deathcore,reggae
181,deathcore,Rap  Hip-Hop
182,grindcore,take a look
183,grindcore,soft music
184,indie,live
185,indie,smokey
186,chillwave,schrockstar
187,chillwave,Gangsta Rap
188,chillwave,80s
189,chillwave,christmas
190,indie,casiotones
191,chillwave,japanski kaos predivan
192,chillwave,groovesalad
193,funk,soul
194,chillwave,None
195,indie pop,None
196,funk,None
197,indie,None
198,alternative,None
199,alternative,None
200,alternative,None
201,alternative,None
202,alternative,None
203,alternative,None
204,alternative,None
205,alternative,None
206,alternative,None
207,alternative,None
208,alternative,None
209,alternative,None
210,alternative,None
211,electronic,None
212,90s,None
213,Canadian,None
214,Canadian,None
215,rap,None
216,death metal,None
217,experimental,None
218,grindcore,None
219,grindcore,None
220,grindcore,None
221,hip hop,None
222,hip hop,None
223,hip hop,None
224,rap,None
225,hip hop,None
226,orange,None
227,orange,None
228,orange,None
229,Wiz Khalifa,None
230,Wiz Khalifa,None
231,Wiz Khalifa,None
232,Progressive rock,None
233,Hip-Hop,None
234,Hip-Hop,None
235,electronic,None
