,genre_sequence,unique_genres
0,pop,pop
1,rock,rock
2,rock,alternative rock
3,rock,moms shtuff
4,rock,Coldplay
5,rock,electronic
6,rock,indie
7,rock,2012 single
8,rock,dance
9,rock,female vocalists
10,rock,chillout
11,alternative rock,Hip-Hop
12,rock,indie rock
13,rock,Stoner Rock
14,rock,Grunge
15,rock,don't forget
16,rock,folk
17,moms shtuff,Nederlandstalig
18,rock,nu disco
19,rock,acoustic
20,rock,singer-songwriter
21,rock,indie folk
22,rock,Scottish
23,rock,instrumental
24,rock,wow music
25,Coldplay,rnb
26,rock,trip-hop
27,electronic,electro swing
28,electronic,Acoustic Rock
29,indie,sexy
30,2012 single,soul
31,indie,r&b
32,alternative rock,remix
33,pop,1Live Fiehe
34,pop,ambient
35,rock,Drake
36,dance,country
37,female vocalists,beyonce
38,indie,Opgezwolle
39,chillout,auto tune hell
40,electronic,alternative
41,Hip-Hop,britpop
42,indie rock,chill
43,indie rock,eclectonia
44,indie rock,that shit cray
45,Stoner Rock,will i am
46,Stoner Rock,dream pop
47,Stoner Rock,synthpop
48,rock,Progressive rock
49,pop,funk
50,Grunge,electronica
51,indie,somafm
52,indie,fire and water
53,don't forget,Gilles Peterson
54,indie,classic rock
55,folk,dutch
56,folk,Whiskey
57,folk,bum note
58,folk,Ollywood
59,indie,beautiful
60,indie,lovely
61,2012 single,belboid
62,Nederlandstalig,radiomelangesoir
63,Nederlandstalig,cover
64,Nederlandstalig,freedom
65,nu disco,B-Sides
66,electronic,b-side
67,electronic,aikinan
68,electronic,ccut
69,indie,experimental
70,acoustic,new wave
71,indie,rock band
72,singer-songwriter,pop punk
73,indie,itune
74,indie,christmas
75,folk,punk rock
76,indie folk,post-hardcore
77,indie rock,hip hop
78,indie,underground hip-hop
79,indie,alternative metal
80,indie,metal
81,indie,ily ben gibbard
82,indie,do not listen to this on a sad and lonely night
83,indie,my gang 09
84,indie,cover songs
85,indie,Lo-Fi
86,indie,suicide
87,indie rock,perfect
88,indie folk,songsof2011
89,indie rock,leaving
90,indie,songs for road trips lonelier than nevada is ugly
91,Scottish,skate punk
92,pop,arizona
93,indie,Offbeat
94,folk,4 chords song
95,folk,live
96,instrumental,Most Favourite Tracks
97,folk,the zombie radio
98,instrumental,Soundtrack
99,folk,post-rock
100,folk,best of 2011
101,folk,grindcore
102,folk,fip
103,Coldplay,epic
104,dance,title is a full sentence
105,rock,comedy
106,indie,genre
107,pop,salsa
108,indie,lizvelrene2010
109,dance,Progressive Pop
110,pop,indie pop
111,pop,can I only love this one per play - just not enough
112,folk,just perfect
113,wow music,shoegaze
114,indie,sound storm
115,rock,live performance
116,rnb,SXSW 2013
117,trip-hop,alternative punk
118,electro swing,instrumental hip hop
119,dance,Monty Python
120,indie,summer tape
121,rock,Perfection
122,rock,file under: best songs ever
123,rock,Love
124,rock,megan nicole
