,genre_sequence,unique_genres
0,rock,rock
1,beyonce,beyonce
2,indie,indie
3,female vocalists,female vocalists
4,chinese,chinese
5,female vocalist,female vocalist
6,pop,pop
7,rnb,rnb
8,pop,chinese female vocal
9,pop,C-pop
10,chinese female vocal,folk-rock
11,pop,China
12,pop,favorite songs
13,C-pop,movie ost
14,chinese female vocal,Soundtrack
15,C-pop,r&b
16,pop,Chinese Pop
17,chinese,epic
18,folk-rock,Jay Chou
19,C-pop,taiwan
20,folk-rock,fantasy
21,pop,Hip-Hop
22,female vocalists,Asian
23,chinese,Asian Pop
24,pop,mandarin
25,chinese,H-Pop
26,folk-rock,Favorite
27,China,rtg
28,favorite songs,cpop
29,indie,aa
30,movie ost,ht
31,Soundtrack,eason
32,Soundtrack,soul
33,Soundtrack,Yoga Lin
34,Soundtrack,piano
35,pop,tw
36,chinese,jacky
37,r&b,punk rock
38,Chinese Pop,j-pop
39,Chinese Pop,taiwanese female vocal
40,epic,1990
41,epic,Love
42,epic,70s
43,pop,chillout
44,chinese,Koda Kumi
45,Jay Chou,calm
46,taiwan,yearning
47,fantasy,taiwanese pop
48,fantasy,LeeHom Wang
49,Hip-Hop,myplaylist
50,chinese,Sentimental
51,r&b,10-loving
52,Chinese Pop,123
53,pop,good
54,fantasy,chinese rock
55,Chinese Pop,ten now
56,Asian,Ballad
57,chinese,introverted
58,r&b,Anime music
59,female vocalists,if I were a sound I would be this
60,pop,midnight
61,chinese,folk
62,pop,zhangxuan
63,chinese,jay
64,female vocalists,xiao
65,Soundtrack,chankl78
66,chinese,R
67,Asian Pop,kvstn
68,C-pop,1993
69,mandarin,mandopop
70,chinese,twins
71,chinese,douwei
72,H-Pop,my-bestlove
73,Favorite,heard on Pandora
74,pop,Grunge
75,mandarin,-
76,pop,Dream
77,China,beyond
78,rtg,anime
79,cpop,da  len
80,female vocalists,acoustic
81,aa,Random
82,pop,phil coulter
83,ht,None
84,female vocalists,None
85,ht,None
86,pop,None
87,chinese,None
88,chinese,None
89,female vocalists,None
90,ht,None
91,pop,None
92,chinese,None
93,H-Pop,None
94,pop,None
95,mandarin,None
96,eason,None
97,chinese,None
98,soul,None
99,female vocalists,None
100,female vocalists,None
101,ht,None
102,pop,None
103,Yoga Lin,None
104,C-pop,None
105,female vocalists,None
106,indie,None
107,indie,None
108,folk-rock,None
109,C-pop,None
110,C-pop,None
111,China,None
112,C-pop,None
113,pop,None
114,cpop,None
115,female vocalists,None
116,pop,None
117,piano,None
118,tw,None
119,chinese,None
120,C-pop,None
121,chinese female vocal,None
122,pop,None
123,C-pop,None
124,chinese,None
125,pop,None
126,pop,None
127,C-pop,None
128,chinese,None
129,chinese,None
130,chinese,None
131,pop,None
132,jacky,None
133,China,None
134,chinese,None
135,Jay Chou,None
136,pop,None
137,punk rock,None
138,pop,None
139,C-pop,None
140,pop,None
141,rtg,None
142,cpop,None
143,female vocalists,None
144,rock,None
145,j-pop,None
146,taiwanese female vocal,None
147,rtg,None
148,cpop,None
149,female vocalists,None
150,pop,None
151,China,None
152,pop,None
153,Yoga Lin,None
154,pop,None
155,1990,None
156,pop,None
157,favorite songs,None
158,taiwanese female vocal,None
159,pop,None
160,Yoga Lin,None
161,pop,None
162,chinese,None
163,pop,None
164,pop,None
165,pop,None
166,1990,None
167,pop,None
168,1990,None
169,Love,None
170,soul,None
171,pop,None
172,punk rock,None
173,70s,None
174,chinese,None
175,pop,None
176,taiwanese female vocal,None
177,rtg,None
178,cpop,None
179,female vocalists,None
180,taiwanese female vocal,None
181,taiwanese female vocal,None
182,pop,None
183,Love,None
184,soul,None
185,pop,None
186,China,None
187,eason,None
188,chinese,None
189,chillout,None
190,Koda Kumi,None
191,chinese,None
192,pop,None
193,calm,None
194,chinese,None
195,pop,None
196,yearning,None
197,pop,None
198,pop,None
199,taiwanese female vocal,None
200,rtg,None
201,cpop,None
202,female vocalists,None
203,Love,None
204,rock,None
205,chinese,None
206,female vocalists,None
207,C-pop,None
208,folk-rock,None
209,pop,None
210,pop,None
211,taiwanese pop,None
212,ht,None
213,pop,None
214,ht,None
215,pop,None
216,piano,None
217,Asian,None
218,rock,None
219,chinese,None
220,C-pop,None
221,punk rock,None
222,70s,None
223,pop,None
224,eason,None
225,chinese,None
226,chinese,None
227,pop,None
228,pop,None
229,pop,None
230,favorite songs,None
231,taiwanese female vocal,None
232,Chinese Pop,None
233,Koda Kumi,None
234,pop,None
235,pop,None
236,pop,None
237,yearning,None
238,pop,None
239,C-pop,None
240,Favorite,None
241,Love,None
242,Favorite,None
243,Love,None
244,chillout,None
245,LeeHom Wang,None
246,Chinese Pop,None
247,Koda Kumi,None
248,Asian,None
249,chinese,None
250,H-Pop,None
251,Favorite,None
252,pop,None
253,mandarin,None
254,eason,None
255,chinese,None
256,soul,None
257,taiwan,None
258,taiwanese female vocal,None
259,C-pop,None
260,chinese,None
261,C-pop,None
262,pop,None
263,pop,None
264,pop,None
265,chinese,None
266,H-Pop,None
267,Favorite,None
268,pop,None
269,mandarin,None
270,chinese,None
271,chinese,None
272,cpop,None
273,female vocalists,None
274,China,None
275,Yoga Lin,None
276,pop,None
277,female vocalists,None
278,ht,None
279,Yoga Lin,None
280,pop,None
281,pop,None
282,pop,None
283,myplaylist,None
284,pop,None
285,pop,None
286,pop,None
287,chinese,None
288,H-Pop,None
289,Favorite,None
290,pop,None
291,mandarin,None
292,eason,None
293,chinese,None
294,chinese,None
295,H-Pop,None
296,Favorite,None
297,pop,None
298,mandarin,None
299,eason,None
300,chinese,None
301,pop,None
302,chinese,None
303,chinese,None
304,Favorite,None
305,pop,None
306,Favorite,None
307,pop,None
308,mandarin,None
309,eason,None
310,chinese,None
311,female vocalists,None
312,ht,None
313,Yoga Lin,None
314,pop,None
315,myplaylist,None
316,pop,None
317,pop,None
318,pop,None
319,favorite songs,None
320,taiwanese female vocal,None
321,tw,None
322,piano,None
323,pop,None
324,female vocalists,None
325,indie,None
326,indie,None
327,pop,None
328,chillout,None
329,LeeHom Wang,None
330,Chinese Pop,None
331,Koda Kumi,None
332,chinese,None
333,pop,None
334,pop,None
335,yearning,None
336,chinese,None
337,H-Pop,None
338,Favorite,None
339,pop,None
340,mandarin,None
341,eason,None
342,chinese,None
343,eason,None
344,chinese,None
345,pop,None
346,female vocalists,None
347,pop,None
348,female vocalists,None
349,pop,None
350,pop,None
351,eason,None
352,chinese,None
353,chinese,None
354,H-Pop,None
355,Favorite,None
356,pop,None
357,mandarin,None
358,eason,None
359,chinese,None
360,China,None
361,ht,None
362,aa,None
363,China,None
364,female vocalists,None
365,ht,None
366,myplaylist,None
367,pop,None
368,pop,None
369,pop,None
370,favorite songs,None
371,taiwanese female vocal,None
372,Asian,None
373,pop,None
374,favorite songs,None
375,pop,None
376,chinese,None
377,tw,None
378,Jay Chou,None
379,China,None
380,female vocalists,None
381,chinese,None
382,H-Pop,None
383,Favorite,None
384,pop,None
385,mandarin,None
386,eason,None
387,chinese,None
388,female vocalists,None
389,Favorite,None
390,pop,None
391,mandarin,None
392,eason,None
393,chinese,None
394,chinese,None
395,pop,None
396,chinese,None
397,China,None
398,favorite songs,None
399,chinese,None
400,Asian,None
401,chinese,None
402,Koda Kumi,None
403,chinese,None
404,chinese,None
405,calm,None
406,chinese,None
407,chinese,None
408,Asian,None
409,LeeHom Wang,None
410,chinese,None
411,chinese,None
412,pop,None
413,C-pop,None
414,chinese,None
415,myplaylist,None
416,pop,None
417,chinese,None
418,chinese,None
419,chinese,None
420,H-Pop,None
421,Favorite,None
422,pop,None
423,mandarin,None
424,eason,None
425,chinese,None
426,eason,None
427,chinese,None
428,mandarin,None
429,eason,None
430,chinese,None
431,pop,None
432,Yoga Lin,None
433,ht,None
434,female vocalists,None
435,eason,None
436,chinese,None
437,chinese,None
438,mandarin,None
439,eason,None
440,chinese,None
441,chinese,None
442,chinese,None
443,H-Pop,None
444,Favorite,None
445,pop,None
446,eason,None
447,chinese,None
448,pop,None
449,indie,None
450,piano,None
451,China,None
452,Sentimental,None
453,pop,None
454,soul,None
455,soul,None
456,cpop,None
457,female vocalists,None
458,C-pop,None
459,pop,None
460,pop,None
461,tw,None
462,taiwan,None
463,j-pop,None
464,China,None
465,chinese,None
466,pop,None
467,soul,None
468,H-Pop,None
469,Favorite,None
